nodeId,stationName,lineName,travelMinutes,lng,lat
783,매탄권선,분당선,40.133333,127.04086144000519,37.25242918530788
540,선바위,서울4호선,40.2,127.00203740744016,37.45196671145504
815,왕십리,분당선,40.25,127.03858040056605,37.56196040259133
170,동백,용인경전철,40.266667,127.15271134830141,37.269129410829464
774,석촌,서울9호선,40.45,127.10690960060363,37.50505930875045
625,마천,서울5호선,40.516667,127.15282678886047,37.49499704089626
457,뚝섬,서울2호선,40.583333,127.04703599105132,37.5473444530958
619,둔촌동,서울5호선,40.683333,127.13621508958978,37.52766277122959
552,충무로,서울4호선,40.933333,126.99469388630308,37.56139337164911
346,대방,서울1호선,40.966667,126.92623406710486,37.5133483698036
757,샛강,서울9호선,41.05,126.92857047968481,37.517293054991526
874,당산,서울9호선급행,41.05,126.902466324419,37.53384922383786
884,올림픽공원,서울9호선급행,41.05,127.13105462314178,37.51633991834076
436,신대방,서울2호선,41.2,126.91364670737559,37.48771506988466
494,안국,서울3호선,41.266667,126.98533293693089,37.576442750720375
604,군자,서울5호선,41.416667,127.07978942893898,37.55705115942891
732,강동구청,서울8호선,41.5,127.1205230881743,37.53041250323172
704,사가정,서울7호선,41.583333,127.08850714914591,37.58097211223812
647,한강진,서울6호선,41.6,127.00176196884566,37.53967214815189
685,신대방삼거리,서울7호선,41.75,126.92827053743333,37.49973006158815
586,여의도,서울5호선,41.883333,126.92459047309863,37.52187648529448
651,신당,서울6호선,41.933333,127.01613939171753,37.56613394327701
349,용산,서울1호선,41.966667,126.96432105098854,37.52960468897794
756,여의도,서울9호선,42.05,126.92437714675651,37.52147712051884
171,초당,용인경전철,42.083333,127.15947848591688,37.26081086407165
539,경마공원,서울4호선,42.2,127.00794132540386,37.44391524695267
98,한남,경의중앙선,42.266667,127.00930523910256,37.529487486397066
100,응봉,경의중앙선,42.266667,127.03465062663128,37.5501726486635
551,명동,서울4호선,42.433333,126.98574103082794,37.56088522014015
345,신길,서울1호선,42.466667,126.91817592758282,37.51689070819467
775,송파나루,서울9호선,42.483333,127.11222006447059,37.51030427208916
546,신용산,서울4호선,42.55,126.96789823329631,37.529231386392546
458,한양대,서울2호선,42.583333,127.04362373849646,37.55548547037737
464,을지로3가,서울2호선,42.766667,126.9910443015022,37.56629631337946
608,강동,서울5호선,43.016667,127.13241463712437,37.53588915403585
886,성수,서울2호선,43.083333,127.05640483439983,37.54454029194622
782,수원시청,분당선,43.133333,127.03073907903122,37.261944303981316
435,구로디지털단지,서울2호선,43.2,126.90134510068359,37.4853026389804
705,면목,서울7호선,43.25,127.08749999489152,37.5887397099918
493,경복궁,서울3호선,43.266667,126.97351447221486,37.57580958905711
733,천호,서울8호선,43.333333,127.12322157745128,37.538017360102174
684,보라매,서울7호선,43.416667,126.92034734244736,37.4999176165529
553,동대문역사문화공원,서울4호선,43.433333,127.00788803473623,37.56506741473066
652,동묘앞,서울6호선,43.433333,127.01570276450394,37.572132307753456
603,장한평,서울5호선,43.583333,127.06358974503318,37.56159912471764
605,아차산,서울5호선,43.583333,127.08969907636653,37.55192170514021
646,이태원,서울6호선,43.6,126.99428965640911,37.53450039805834
587,여의나루,서울5호선,43.716667,126.9329458250847,37.52707871139832
353,종로3가,서울1호선,43.766667,126.99233795465818,37.570425347752746
585,신길,서울5호선,43.883333,126.91489053013655,37.51767870939144
550,회현,서울4호선,43.933333,126.9787618992552,37.55902192175472
755,국회의사당,서울9호선,43.983333,126.91744560355306,37.52849815032641
547,삼각지,서울4호선,44.05,126.97289696351694,37.53441317709764
201,신림,신림선,44.2,126.92962603522608,37.484811129617626
538,대공원,서울4호선,44.2,127.00653686551743,37.43572575371737
101,왕십리,경의중앙선,44.266667,127.03834664915074,37.56193672070951
463,을지로4가,서울2호선,44.266667,126.99764984161506,37.566626674163885
465,을지로입구,서울2호선,44.266667,126.98220699926492,37.56602408391536
348,남영,서울1호선,44.466667,126.97132962571818,37.54059055609324
459,왕십리,서울2호선,44.583333,127.03758032298498,37.561265875713445
776,한성백제,서울9호선,44.633333,127.11527498699265,37.51526192266898
885,중앙보훈병원,서울9호선급행,44.716667,127.14826627604758,37.528665428902215
597,청구,서울5호선,44.766667,127.01406824543665,37.56014464602058
778,올림픽공원,서울9호선,44.816667,127.13125496218146,37.51625605646414
706,상봉,서울7호선,44.916667,127.08571314404865,37.595737139295096
554,동대문,서울4호선,44.933333,127.00933705565537,37.57083797907694
594,종로3가,서울5호선,44.933333,126.99024566990154,37.57259780662603
344,영등포,서울1호선,44.966667,126.90744561446621,37.515659232420234
35,세종대왕릉,경강선,45,127.57050292506307,37.29366739046331
607,천호,서울5호선,45.016667,127.12396447570143,37.538500637421805
645,녹사평,서울6호선,45.1,126.98646417389271,37.53472691082226
609,길동,서울5호선,45.183333,127.14004175872209,37.53789287459892
434,대림,서울2호선,45.2,126.89491262980711,37.493413730516004
873,염창,서울9호선급행,45.216667,126.8749622945185,37.54716168877678
683,신풍,서울7호선,45.25,126.90977223355294,37.50012633786362
97,서빙고,경의중앙선,45.266667,126.98839897917318,37.51958109244649
653,창신,서울6호선,45.266667,127.01529141982512,37.57948029984715
781,매교,분당선,45.466667,127.01568721056431,37.26551025848763
