pnu,managementPk,siteAddress,roadAddress,mainUse,grossFloorAreaSqm,approvalDate,approvalYear,parcelJibun,centroidLon,centroidLat
4113510900106240000,10891100241543,경기도 성남시 분당구 삼평동 624번지,경기도 성남시 분당구 판교로 242 (삼평동),업무시설,79735.51,20130911,2013,624대,127.10014376147814,37.40203794418178
4113510900106250000,10891100204737,경기도 성남시 분당구 삼평동 625번지,경기도 성남시 분당구 판교로228번길 15 (삼평동),자동차관련시설,2,20091224,2009,625대,127.10089397352444,37.40167044503839
4113510900106250000,10891100204734,경기도 성남시 분당구 삼평동 625번지,경기도 성남시 분당구 판교로228번길 15 (삼평동),업무시설,12813.32,20091224,2009,625대,127.10089397352444,37.40167044503839
4113510900106250000,10891100204733,경기도 성남시 분당구 삼평동 625번지,경기도 성남시 분당구 판교로228번길 15 (삼평동),업무시설,17726.12,20091224,2009,625대,127.10089397352444,37.40167044503839
4113510900106250000,10891100204735,경기도 성남시 분당구 삼평동 625번지,경기도 성남시 분당구 판교로228번길 15 (삼평동),업무시설,24185.58,20091224,2009,625대,127.10089397352444,37.40167044503839
4113510900106250000,10891100204736,경기도 성남시 분당구 삼평동 625번지,경기도 성남시 분당구 판교로228번길 15 (삼평동),업무시설,12652.12,20091224,2009,625대,127.10089397352444,37.40167044503839
4113510900106270000,10891100241183,경기도 성남시 분당구 삼평동 627번지,경기도 성남시 분당구 판교로256번길 7 (삼평동),업무시설,65400.37,20130830,2013,627대,127.1035471590594,37.402222834600515
4113510900106290000,10891100240343,경기도 성남시 분당구 삼평동 629번지,경기도 성남시 분당구 대왕판교로645번길 16 (삼평동),업무시설,52335.59,20130524,2013,629대,127.10432359106592,37.40043398532838
4113510900106290000,10891100240344,경기도 성남시 분당구 삼평동 629번지,경기도 성남시 분당구 대왕판교로645번길 12 (삼평동),업무시설,28499.45,20130524,2013,629대,127.10432359106592,37.40043398532838
4113510900106290000,10891100239624,경기도 성남시 분당구 삼평동 629번지,경기도 성남시 분당구 대왕판교로645번길 14 (삼평동),업무시설,52242.08,20130524,2013,629대,127.10432359106592,37.40043398532838
4113510900106300000,10891100228480,경기도 성남시 분당구 삼평동 630번지,경기도 성남시 분당구 판교로256번길 19 (삼평동),업무시설,39083.47,20111130,2011,630대,127.10310752150228,37.40117985657545
4113510900106310000,10891100228491,경기도 성남시 분당구 삼평동 631번지,경기도 성남시 분당구 판교로256번길 25 (삼평동),업무시설,21611.86,20111130,2011,631대,127.10310104388127,37.40025372812181
4113510900106310000,10891100228482,경기도 성남시 분당구 삼평동 631번지,경기도 성남시 분당구 판교로256번길 25 (삼평동),업무시설,10052.03,20111130,2011,631대,127.10310104388127,37.40025372812181
4113510900106310000,10891100228504,경기도 성남시 분당구 삼평동 631번지,경기도 성남시 분당구 판교로256번길 25 (삼평동),업무시설,18596.26,20111130,2011,631대,127.10310104388127,37.40025372812181
4113510900106330000,10891100204739,경기도 성남시 분당구 삼평동 633번지,경기도 성남시 분당구 판교로228번길 17 (삼평동),업무시설,17078.4,20091224,2009,633대,127.10121445809348,37.40030093167617
4113510900106330000,10891100204740,경기도 성남시 분당구 삼평동 633번지,경기도 성남시 분당구 판교로228번길 17 (삼평동),업무시설,9644.23,20091224,2009,633대,127.10121445809348,37.40030093167617
